ResponseId,Age,EdLevel,Employment,WorkExp,LearnCodeAI,DevType,OrgSize,RemoteWork,Industry,Country,Language,Database,Salary,EDU,WE,SS Index
2,25-34 years old,"Associate degree (A.A., A.S., etc.)",Employed,2,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end",500 to 999 employees,"Hybrid (some in-person, leans heavy to flexibility)",Retail and Consumer Services,Netherlands,Java,Dynamodb;MongoDB,104413,1.15,0.973684211,116915.0829
4,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end","10,000 or more employees",Remote,Retail and Consumer Services,Ukraine,Java;Kotlin;SQL,NA,36197,1,0.921052632,33339.34211
9,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",Data engineer,"5,000 to 9,999 employees",Remote,Banking/Financial Services,Ukraine,Java;Python;Scala,Cassandra;Databricks SQL;DuckDB;Dynamodb;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Snowflake;Amazon Redshift,70000,1,0.789473684,55263.15789
11,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,7,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end",100 to 499 employees,Remote,Fintech,Ukraine,HTML/CSS;Java;JavaScript;SQL;TypeScript,H2;Microsoft SQL Server;PostgreSQL;Redis,65691,0.9,0.842105263,49786.86316
12,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end",100 to 499 employees,Remote,Fintech,Ukraine,C#,Microsoft SQL Server;SQLite,14400,1,0.947368421,13642.10526
28,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,24,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack","1,000 to 4,999 employees","Hybrid (some remote, leans heavy to in-person)",Banking/Financial Services,Sweden,C#;Java;Python;SQL,Microsoft SQL Server;Oracle;PostgreSQL,209643,1,0.5,104821.5
30,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,19,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, mobile",500 to 999 employees,Remote,Software Development,United States of America,Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Kotlin;Rust;SQL;Swift;TypeScript,MySQL;PostgreSQL;SQLite;Supabase,205000,0.9,0.526315789,97105.26316
32,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,17,"No, I didn't spend time learning in the past year","Developer, full-stack",100 to 499 employees,Remote,Fintech,United States of America,Elixir;HTML/CSS;JavaScript;SQL;TypeScript,BigQuery;Elasticsearch;PostgreSQL;SQLite,250000,1,0.578947368,144736.8421
34,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,24,"No, I didn't spend time learning in the past year",Data engineer,"5,000 to 9,999 employees","Hybrid (some remote, leans heavy to in-person)",Software Development,United States of America,C#;Python;SQL,Microsoft SQL Server,175000,1,0.5,87500
38,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15,"No, I didn't spend time learning in the past year","Developer, full-stack","10,000 or more employees",In-person,Government,United States of America,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;COBOL;Fortran;Java;JavaScript;PowerShell;Python;SQL;VBA;Visual Basic (.Net),MySQL;Oracle;PostgreSQL;SQLite,109000,0.9,0.631578947,61957.89474
40,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,7,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack",100 to 499 employees,"Hybrid (some remote, leans heavy to in-person)",Media & Advertising Services,United States of America,HTML/CSS;JavaScript;Ruby;SQL,PostgreSQL;Redis,150000,1,0.842105263,126315.7895
